,reviewd,name,platform,score
0,2018-02-17,Secret of Mana,"Android,iPhone,PC,PS4,PSVita",7
1,2018-02-16,Monster Energy Supercross,"PC,PS4,Switch,Xbox One",6.5
2,2018-02-15,FE,"PC,PS4,Switch,Xbox One",5
3,2018-02-14,Bayonetta,"PC,PS3,PS4,Switch,Wii-U,Xbox 360,Xbox One",8
4,2018-02-13,Dynasty Warriors 9,"PC,PS4,Xbox One",6.5
5,2018-02-12,Space Invaders Extreme,"DS,PC,PSP,Xbox 360",7
6,2018-02-11,Mutant Football League,"Android,iPhone,PC,PS4,Xbox 360,Xbox One",7
7,2018-02-09,The Seven Deadly Sins: Knights of Britannia,PS4,4
8,2018-02-09,Digimon Story Cyber Sleuth: Hacker's Memory,"PS4,PSVita",8
9,2018-02-09,Break Arts II,PC,6
10,2018-02-08,Octogeddon,PC,7.5
11,2018-02-08,Aegis Defenders,"PC,PS4,Switch",8.5
12,2018-02-07,Dandara,"Android,iPad,iPhone,PC,PS4,Switch,Xbox One",7
13,2018-02-07,Middle-earth: Shadow of War - Blade of Galadriel,"PC,PS4,Xbox One",6
14,2018-02-06,Shadow of the Colossus,"PS2,PS3,PS4",10
15,2018-02-05,Radiant Historia: Perfect Chronology,3DS,7.5
16,2018-02-05,Dissidia Final Fantasy NT,PS4,7
17,2018-02-03,Tesla vs Lovecraft ,PC,7
18,2018-02-02,Final Fantasy XIV: Stormblood,"Mouse,PC,PS4",9
19,2018-02-02,Final Fantasy XIV: Stormblood: Rise of a New Sun,PS4,8
20,2018-02-02,Nantucket,PC,8
21,2018-01-31,Space Dave!,"3DS,PC,PS4,PSVita,Switch,Wii-U",7.5
22,2018-01-30,Call of Duty: WWII: The Resistance,"PC,PS4,Xbox One",7
23,2018-01-30,OK K.O.! Let's Play Heroes,"PC,PS4,Xbox One",6
24,2018-01-28,Dragon Ball FighterZ,"PC,PS4,Xbox One",8.5
25,2018-01-25,Monster Hunter: World,"PC,PS4,Xbox One",9
26,2018-01-25,Celeste,"PC,PS4,Switch,Xbox One",10
27,2018-01-24,River City Rival Showdown,3DS,8.5
28,2018-01-24,Subnautica,"Mac OS,PC,Xbox One",9.5
29,2018-01-24,Lost Sphear,"PC,PS4,Switch",7.5
30,2018-01-23,Assassin's Creed Origins: The Hidden Ones,"PC,PS4,Xbox One",7
31,2018-01-23,The Inpatient,PS4,6.5
32,2018-01-23,Kirby Battle Royale,3DS,5.5
33,2018-01-22,Batman: The Enemy Within: What Ails You,"Android,iPhone,Mac OS,PC,PS4,Xbox One",7
34,2018-01-22,Iconoclasts,"Mac OS,PC,PS4,PSVita",9.5
35,2018-01-22,The Red Strings Club,PC,8
36,2018-01-18,Genital Jousting,PC,7.5
37,2018-01-17,Full Metal Furies,"PC,Xbox One",8.5
38,2018-01-14,Mom Hid My Game!,"3DS,Switch",6.5
39,2018-01-13,Dreadnought,"PC,PS4",7.5
40,2018-01-06,Style Savvy: Styling Star,3DS,8.5
41,2018-01-05,Life is Strange: Before the Storm: Hell is Empty,"PC,PS4,Xbox One",8
42,2018-01-03,Blossom Tales: The Sleeping King,Switch,8
43,2018-01-02,PlayerUnknown's Battlegrounds,"Android,iPad,iPhone,PC,PS4,Xbox One,Xbox One X",8
44,2017-12-29,Tiny Metal,"Mac OS,PC,PS4,Switch",5
45,2017-12-28,Floor Kids,Switch,7.5
46,2017-12-21,Kamen Rider: Climax Fighters,PS4,4.5
47,2017-12-20,Embers of Mirrim,"PC,PS4,Switch,Xbox One",6
48,2017-12-20,Gang Beasts,"Mac OS,PC,PS4",6
49,2017-12-20,Brawlout,"PC,PS4,Switch,Xbox One",7
50,2017-12-19,Bridge Constructor Portal,"Android,iPhone,Mac OS,PC,PS4,Switch,Xbox One",7
51,2017-12-19,Shantae: Half-Genie Hero - Friends to the End,"PC,PS4,PSVita,Switch,Wii-U,Xbox One",5
52,2017-12-19,Eiyu*Senki - The World Conquest,"PC,PSVita",7
53,2017-12-19,Okami HD,"PC,PS3,PS4,Xbox One",9.5
54,2017-12-19,L.A. Noire: The VR Case Files,PC,9
55,2017-12-19,Xenon Valkyrie+,PSVita,6.5
56,2017-12-18,Burgle Bros.,PC,8
57,2017-12-17,Gorogoa,iPad,9
58,2017-12-15,Hearthstone: Kobolds and Catacombs,"Android,iPhone,PC",7
59,2017-12-15,Never Stop Sneakin',"PC,Switch",7
60,2017-12-13,Final Fantasy XV: Episode Ignis,"PS4,Xbox One",7.5
61,2017-12-12,Race for the Galaxy,"Android,iPad",9
62,2017-12-10,7 Wonders,iPad,7.5
63,2017-12-09,,,
64,2017-12-09,The Legend of Zelda: Breath of the Wild - The Champions' Ballad,Switch,7.5
65,2017-12-08,Slain: Back from Hell,"PC,PS4,PSVita,Switch,Xbox One",2.5
66,2017-12-07,Puzzle Fighter,"Android,iPad,iPhone",7.5
67,2017-12-07,Wuppo,"PC,PS4,Xbox One",5
68,2017-12-07,Tokaido,PC,8
69,2017-12-06,Destiny 2,"PC,PS4,Xbox One",7.5
70,2017-12-06,Destiny 2: Curse of Osiris,"PC,PS4,Xbox One",5
71,2017-12-01,Carcassonne - Tiles & Tactics,PC,7.5
72,2017-11-30,Xenoblade Chronicles 2,Switch,8
73,2017-11-30,Pokemon Ultra Sun,3DS,8.5
74,2017-11-29,Battlerite,"PC,Xbox One",7.5
75,2017-11-28,Mario Party: The Top 100,3DS,5
76,2017-11-25,The Punisher,"Film or TV,PS2",6
77,2017-11-22,Animal Crossing: Pocket Camp,"Android,iPad,iPhone",7.5
78,2017-11-22,South Park Phone Destroyer,"Android,iPad,iPhone",6
79,2017-11-21,Battle Chef Brigade,"Mac OS,PC,Switch",8
80,2017-11-20,Batman: The Enemy Within: The Fractured Mask,"Android,iPhone,PC,PS4,Xbox One",5
81,2017-11-20,School Girl/Zombie Hunter,PS4,7
82,2017-11-20,Star Wars Battlefront II,"PC,PS4,Xbox One",5
83,2017-11-20,Monster of the Deep: Final Fantasy XV,PS4,7
84,2017-11-18,Destiny 2 (PC),"PC,PS4,Xbox One",6.5
85,2017-11-17,Sphinx and the Cursed Mummy,"Mac OS,PC,PS2",6.5
86,2017-11-16,.hack//G.U. Last Recode,"PC,PS4",5.5
87,2017-11-15,L.A. Noire (Switch),Switch,8
88,2017-11-14,Pokemon Ultra Moon,3DS,8.5
89,2017-11-14,LEGO Marvel Super Heroes 2,"PC,PS4,Switch,Xbox One",7
90,2017-11-14,Need for Speed Payback,"PC,PS4,Xbox One,Xbox One X",3
91,2017-11-13,Super Beat Sports,Switch,5
92,2017-11-11,"Snipperclips: Cut It Out, Together! DLC",Switch,8.5
93,2017-11-09,Doom,"PC,PS1,PS4,Switch,Xbox 360,Xbox One",9
94,2017-11-09,Doom (Switch),Switch,8
95,2017-11-09,Monopoly for Nintendo Switch,Switch,5
96,2017-11-08,Taiko no Tatsujin: Drum Session!,PS4,9
97,2017-11-07,Sonic Forces,"PC,PS4,Switch,Xbox One",5.5
98,2017-11-07,Call of Duty: WWII,"PC,PS4,Xbox One,Xbox One X",7
99,2017-11-06,Horizon Zero Dawn: The Frozen Wilds,PS4,7.5
100,2017-11-06,Marvel's Guardians of the Galaxy: The Telltale Series: Don't Sto,"Android,iPhone,PC,PS4,Xbox One",5
101,2017-11-05,Creeping Terror,3DS,5
102,2017-11-03,Super Lucky's Tale,"PC,Xbox One",7
103,2017-11-03,Splasher,"PC,PS4,Switch,Xbox One",9
104,2017-11-02,Bubsy: The Woolies Strike Back,"PC,PS4",3
105,2017-11-02,Million Onion Hotel,"Android,iPad,iPhone",8
106,2017-10-31,Steven Universe: Save the Light,"PS4,Xbox One",4.5
107,2017-10-30,Wolfenstein II: The New Colossus,"PC,PS4,Switch,Xbox One",8
108,2017-10-29,Super Mario Odyssey,"PS4,Switch",9.5
109,2017-10-29,Total War: Warhammer II,PC,8.5
110,2017-10-27,Assassin's Creed Origins,"PC,PS4,Xbox One",8
111,2017-10-27,Yomawari: Midnight Shadows,"PC,PS4,PSVita",8.5
112,2017-10-26,Gran Turismo Sport,PS4,6
113,2017-10-24,Campfire Cooking,iPad,8
114,2017-10-24,The Mummy Demastered,"PC,PS4,Switch,Xbox One",7.5
115,2017-10-23,Chaos;Child,"PS4,PSVita",6
116,2017-10-23,High Hell,PC,8
117,2017-10-22,A Mortician's Tale,"Mac OS,PC",8
118,2017-10-21,Lichtspeer,"Mac OS,PC,PS4,Switch",7
119,2017-10-21,Fire Emblem Warriors,"3DS,Switch",6.5
120,2017-10-21,Overgrowth,"Mac OS,PC",6
121,2017-10-20,The Jackbox Party Pack 4,"Mac OS,PC,PS4,Switch,Xbox One",7
122,2017-10-20,ELEX,"PC,PS4,Xbox One",7
123,2017-10-20,WWE 2K18,"PC,PS4,Switch,Xbox One",5
124,2017-10-19,Life is Strange: Before the Storm: Brave New World,"PC,PS4,Xbox One",7.5
125,2017-10-19,Hob,"PC,PS4,Xbox One",5
126,2017-10-18,The Evil Within 2,"PC,PS4,Xbox One",7
127,2017-10-18,Echo,"PC,PS4",8.5
128,2017-10-17,South Park: The Fractured but Whole,"PC,PS4,Xbox One",8.5
129,2017-10-16,Divinity: Original Sin 2,PC,9
130,2017-10-16,Forza Motorsport 7,"PC,Xbox One,Xbox One X",6
131,2017-10-16,Etrian Odyssey V: Beyond the Myth,3DS,7.5
132,2017-10-13,Golf Story,Switch,9
133,2017-10-12,Battle Chasers: Nightwar,"PC,PS4,Switch,Xbox One",8
134,2017-10-12,Final Fantasy XIV: Stormblood: The Legend Returns,PS4,8
135,2017-10-12,Gundam Versus,PS4,6
136,2017-10-11,Middle-Earth: Shadow of War,"PC,PS4,Xbox One",7
137,2017-10-11,Axiom Verge,"PC,PS4,PSVita,Wii-U,Xbox One",7.5
138,2017-10-11,Axiom Verge: Multiverse Edition,Switch,7.5
139,2017-10-09,Mystik Belle,"PC,PS4,Xbox One",7
140,2017-10-09,Marvel's Guardians of the Galaxy: The Telltale Series: Who Needs,"Android,iPhone,PC,PS4,Xbox One",7
141,2017-10-08,1bitHeart,PC,7.5
142,2017-10-05,Final Fantasy IX,"Android,iPad,iPhone,PC,PS1,PS4",9
143,2017-10-04,Pokemon Gold,3DS,9
144,2017-10-04,Culdcept Revolt,3DS,7
145,2017-10-04,Road Redemption,"PC,Wii-U",9
146,2017-10-04,Mario & Luigi: Superstar Saga + Bowser's Minions,3DS,7.5
147,2017-10-03,A Hat in Time,"Mac OS,PC,PS4,Xbox One",8.5
148,2017-10-02,Batman: The Enemy Within: The Pact,"Android,iPhone,PC,PS4,Xbox One",6
149,2017-10-02,DropMix,"Android,iPad,iPhone,Placeholder",8.5
150,2017-10-01,Pokemon Silver,3DS,9
151,2017-09-29,Pylon: Rogue,"PC,PS4,Xbox One",3
152,2017-09-29,Dishonored: Death of the Outsider,"PC,PS4,Xbox One",8.5
153,2017-09-29,Cuphead,"PC,PS4,Xbox One",9.5
154,2017-09-27,Star Fox 2,Placeholder,7
155,2017-09-27,Nioh: Bloodshed's End ,PS4,9
156,2017-09-26,Lightfield,"PS4,Xbox One",5.5
157,2017-09-26,Necrosphere,PC,6.5
158,2017-09-26,Minecraft New Nintendo 3DS Edition,3DS,6
159,2017-09-26,Ruiner,"PC,PS4,Xbox One",9
160,2017-09-26,Blue Reflection,"PC,PS4,PSVita",6.5
161,2017-09-25,Kingdom: New Lands,"Android,iPhone,Mac OS,PC,Switch,Xbox One",6
162,2017-09-24,Tokyo Dark,PC,7
163,2017-09-22,Senran Kagura: Peach Beach Splash,PS4,7.5
164,2017-09-21,SteamWorld Dig 2,"3DS,PC,PS4,PSVita,Switch",8.5
165,2017-09-20,Samurai Shodown V Special,"PS4,PSVita",8
166,2017-09-20,West of Loathing,PC,9
167,2017-09-19,Rayman Legends Definitive Edition,Switch,4.5
168,2017-09-19,Danganronpa V3: Killing Harmony,"PC,PS4,PSVita",10
169,2017-09-19,Atomega,PC,6
170,2017-09-18,Marvel vs. Capcom: Infinite,"PC,PS4,Xbox One",7.5
171,2017-09-18,Pokken Tournament DX ,Switch,7.5
172,2017-09-15,Hiveswap: Act 1,PC,7.5
173,2017-09-15,ARK: Survival Evolved,"Mac OS,PC,PS4,Xbox One",7
174,2017-09-12,Call of Duty: Infinite Warfare Retribution,"PC,PS4,Xbox One",6
175,2017-09-12,Metroid: Samus Returns,3DS,8
176,2017-09-12,Tooth and Tail,"PC,PS4",9.5
177,2017-09-11,Senko no Ronde 2,"PC,PS4",7
178,2017-09-10,Observer,"PC,PS4,Xbox One",9
179,2017-09-09,Pillars of Eternity - Complete Edition,"PS4,Xbox One",8
180,2017-09-08,Life is Strange: Before the Storm: Awake,"PC,PS4,Xbox One",8.5
181,2017-09-07,Monster Hunter Stories,3DS,7
182,2017-09-06,Darkwood,"Mac OS,PC",7.5
183,2017-09-06,Utawarerumono: Mask of Truth,"PS4,PSVita",7.5
184,2017-09-06,Titanfall Assault,"Android,iPad",6.5
185,2017-09-05,Knack II,PS4,5.5
186,2017-09-04,Last Day of June,"PC,PS4",8
187,2017-09-02,Fishing Planet,"PC,PS4",7
188,2017-09-01,Ys VIII: Lacrimosa of Dana,"PC,PS4,PSVita,Switch",9
189,2017-08-31,Distrust,PC,8
190,2017-08-31,Windjammers,"PS4,PSVita",7
191,2017-08-31,Madden 18,"PS4,Xbox One",7.5
192,2017-08-31,Everybody's Golf,"Android,iPhone,PS1,PS2,PS4,Xbox One",8.5
193,2017-08-31,Resident Evil: Revelations,"3DS,PC,PS3,PS4,Switch,Wii-U,Xbox 360,Xbox One",8
194,2017-08-30,Songbringer,"PC,PS4,Xbox One",7
195,2017-08-30,Ys Seven,"PC,PSP",8
196,2017-08-29,Sparc,"PC,PS4",8
197,2017-08-29,Absolver,"PC,PS4,Xbox One",7.5
198,2017-08-29,Shantae: Half-Genie Hero - Pirate Queen's Quest,"PC,PS4,PSVita,Switch,Wii-U,Xbox One",6
199,2017-08-29,Warriors All-Stars,"PC,PS4,PSVita",7
200,2017-08-28,Game of Thrones,"Film or TV,iPad,iPhone,Mac OS,PC,PS3,PS4,Xbox 360,Xbox One",8
201,2017-08-28,Rock of Ages 2: Bigger & Boulder,"PC,PS4,Xbox One",7.5
202,2017-08-28,Mario + Rabbids Kingdom Battle,Switch,7.5
203,2017-08-24,forma.8,"iPad,Mac OS,PC,PS4,PSVita,Switch,Wii-U,Xbox One",7.5
204,2017-08-24,Chicken Wiggle,3DS,7.5
205,2017-08-23,Flip Wars,Switch,3.5
206,2017-08-22,White Day: A Labyrinth Named School,"Android,iPad,iPhone,PC,PS4",6.5
207,2017-08-21,The Long Dark,"PC,PS4,Xbox One",7.5
208,2017-08-21,Yakuza Kiwami,"PS3,PS4",8
209,2017-08-21,Marvel's Guardians of the Galaxy: The Telltale Series: More Than,PC,7.5
210,2017-08-18,Sine Mora EX,"PC,PS4,PSVita,Switch,Xbox One",7
211,2017-08-17,Uncharted: The Lost Legacy,PS4,9
212,2017-08-16,Serial Cleaner,"PC,PS4,Xbox One",7
213,2017-08-15,Night Trap: 25th Anniversary Edition,"PC,PS4,Xbox One",4
214,2017-08-15,Undertale,"PC,PS4,PSVita",10
215,2017-08-15,Agents of Mayhem,"PC,PS4,Xbox One",7
216,2017-08-15,Matterfall,PS4,7.5
217,2017-08-14,Sonic Mania,"PC,PS4,Switch,Xbox One",8
218,2017-08-14,Nidhogg 2,"PC,PS4",9.5
219,2017-08-10,Slime Rancher,"Mac OS,PC,Xbox One",8.5
220,2017-08-09,LawBreakers,"PC,PS4,Xbox One",8.5
221,2017-08-09,Aven Colony,"PC,PS4,Xbox One",6
222,2017-08-08,Hellblade,"PC,PS4",7.5
223,2017-08-08,Mega Man Legacy Collection 2,"PC,PS4,Xbox One",8
224,2017-08-07,Infinite Minigolf,"PC,PS4,Switch,Xbox One",6.5
225,2017-08-07,Gotta Go,PC,2.5
226,2017-08-07,Lone Echo,PC,9
227,2017-08-07,Batman: The Enemy Within: The Enigma,"PC,PS4,Xbox One",7
228,2017-08-06,Immortal Planet,PC,6
229,2017-08-05,Namco Museum,"PS2,Switch",7.5
230,2017-08-02,Dino Frontier,PS4,8
231,2017-08-01,Tacoma,"Mac OS,PC,Xbox One",9
232,2017-08-01,Aztez,"PC,PS4,PSVita,Wii-U,Xbox One",9
233,2017-07-31,Redeemer,PC,5
234,2017-07-31,Layton's Mystery Journey: Katrielle and the Millionaires' Conspi,iPad,6
235,2017-07-31,Patapon,"PS4,PSP",8
236,2017-07-30,The End is Nigh,"PC,Switch",8.5
237,2017-07-27,Yonder: The Cloud Catcher Chronicles,"PC,PS4",8
238,2017-07-27,Theseus,PS4,4.5
239,2017-07-27,Miitopia,3DS,7
240,2017-07-27,Sundered,"Mac OS,PC,PS4",6
241,2017-07-27,The Darkside Detective,Mac OS,5.5
242,2017-07-26,Hey! Pikmin,3DS,7
243,2017-07-24,Accel World VS Sword Art Online: Millennium Twilight ,"PS4,PSVita",4.5
244,2017-07-24,Nioh: Defiant Honor,PS4,8.5
245,2017-07-24,Pyre,"PC,PS4",8.5
246,2017-07-21,Splatoon 2,Switch,8.5
247,2017-07-19,Fallen Legion,"PS4,PSVita",7.5
248,2017-07-19,Turok 2: Seeds of Evil,"PC,Xbox One",6
249,2017-07-18,Stay! Stay! Democratic People's Republic of Korea!,PC,4.5
250,2017-07-14,Fantastic Contraption,"PC,PS4",6
251,2017-07-13,Get Even,"PC,PS4,Xbox One",8
252,2017-07-12,Shephy,"Android,iPhone,Switch",3
253,2017-07-12,De Mambo,"PC,PS4,Switch",7
254,2017-07-10,Final Fantasy XII: The Zodiac Age,"PC,PS4",8
255,2017-07-09,Bulb Boy,"PC,Switch",8
256,2017-07-08,That's You,PS4,6.5
257,2017-07-06,Call of Duty: Infinite Warfare: Absolution,"PC,PS4,Xbox One",6.5
258,2017-07-06,Kirby's Blowout Blast,3DS,6
259,2017-07-05,Elite Dangerous,"Mac OS,PC,PS4,Xbox One",9
260,2017-07-03,Micro Machines World Series,"PC,PS4,Xbox One",5
261,2017-07-01,The Legend of Zelda: Breath of the Wild - The Master Trials,"Switch,Wii-U",7
