,date,genres,name,platform,score
0,"February 17, 2018",RPG,Kingdom Come: Deliverance,PC,8.0
1,"February 16, 2018",Hardware,Analogue Super Nt,Super NES,8.5
2,"February 16, 2018",Fighting,Injustice 2: TMNT DLC,Xbox One,8.8
3,"February 16, 2018",Fighting,Injustice 2: TMNT DLC,PC,8.8
4,"February 16, 2018",Fighting,Injustice 2: TMNT DLC,PlayStation 4,8.8
5,"February 15, 2018",Adventure,Fe,Nintendo Switch,6.5
6,"February 15, 2018",Adventure,Fe,PlayStation 4,6.5
7,"February 15, 2018",Adventure,Fe,PC,6.5
8,"February 15, 2018",Adventure,Fe,Xbox One,6.5
9,"February 14, 2018",Action,Bayonetta 2,Nintendo Switch,9.0
10,"February 13, 2018",Action,Dynasty Warriors 9,PlayStation 4,5.8
11,"February 13, 2018","Action, Adventure",Middle-earth: Shadow of War -- The Blade of Galadriel,PlayStation 4,6.8
12,"February 8, 2018",Shooter,Call of Duty: WWII -- The Resistance,PlayStation 4,7.7
13,"February 7, 2018",Strategy,Sid Meier's Civilization VI: Rise and Fall,PC,7.8
14,"February 7, 2018",Fighting,Dissidia Final Fantasy NT,PlayStation 4,6.9
15,"February 3, 2018","Action, Adventure",Assassin's Creed Origins: The Hidden Ones,PlayStation 4,8.4
16,"February 1, 2018",Platformer,Iconoclasts,PlayStation 4,8.4
17,"February 1, 2018",Platformer,Iconoclasts,PlayStation Vita,8.4
18,"February 1, 2018",Platformer,Iconoclasts,PC,8.4
19,"February 1, 2018",Fighting,EA Sports UFC 3,Xbox One,7.5
20,"January 31, 2018",Puzzle,Gorogoa,PC,8.5
21,"January 31, 2018",Puzzle,Gorogoa,Macintosh,8.5
22,"January 31, 2018",Puzzle,Gorogoa,iPhone,8.5
23,"January 31, 2018",Puzzle,Gorogoa,Nintendo Switch,8.5
24,"January 30, 2018","Action, Adventure",Shadow of the Colossus,PlayStation 4,9.7
25,"January 26, 2018",Adventure,Subnautica,PC,9.1
26,"January 25, 2018",Platformer,Celeste,Nintendo Switch,10.0
27,"January 25, 2018",Platformer,Celeste,PlayStation 4,10.0
28,"January 25, 2018",Platformer,Celeste,PC,10.0
29,"January 25, 2018",Platformer,Celeste,Xbox One,10.0
30,"January 25, 2018",Action,Monster Hunter World,Xbox One,9.5
31,"January 25, 2018",Action,Monster Hunter World,PlayStation 4,9.5
32,"January 23, 2018",RPG,Lost Sphear,PlayStation 4,6.7
33,"January 22, 2018",Fighting,Dragon Ball FighterZ,Xbox One,8.5
34,"January 22, 2018",Fighting,Dragon Ball FighterZ,PlayStation 4,8.5
35,"January 22, 2018",Fighting,Dragon Ball FighterZ,PC,8.5
36,"January 22, 2018",Adventure,Batman: The Enemy Within -- Episode 4: What Ails You,PlayStation 4,7.5
37,"January 22, 2018",Adventure,Batman: The Enemy Within -- Episode 4: What Ails You,PC,7.5
38,"January 22, 2018",Adventure,Batman: The Enemy Within -- Episode 4: What Ails You,iPhone,7.5
39,"January 22, 2018",Adventure,Batman: The Enemy Within -- Episode 4: What Ails You,Android,7.5
40,"January 22, 2018",Adventure,Batman: The Enemy Within -- Episode 4: What Ails You,Xbox One,7.5
41,"January 18, 2018",Shooter,Tom Clancy's Rainbow Six Siege,PC,8.5
42,"January 18, 2018",Sports,AO Tennis,Xbox One,4.5
43,"January 18, 2018",Sports,AO Tennis,PlayStation 4,4.5
44,"January 16, 2018",Flight,InnerSpace,Nintendo Switch,6.5
45,"January 16, 2018",Fighting,Street Fighter V: Arcade Edition,PC,9.0
46,"January 16, 2018",Fighting,Street Fighter V: Arcade Edition,PlayStation 4,9.0
47,"January 10, 2018",Adventure,L.A. Noire: The VR Case Files,PC,8.5
48,"January 8, 2018",Fighting,Battlerite,PC,8.2
49,"January 5, 2018",Shooter,PlayerUnknown's Battlegrounds,PC,9.5
50,"December 29, 2017",Strategy,Sid Meier's Civilization VI,iPad,9.1
51,"December 29, 2017",Strategy,Tiny Metal,PC,6.8
52,"December 22, 2017",Adventure,Life is Strange: Before the Storm -- Episode 3: Hell is Empty,PC,7.8
53,"December 21, 2017",Action,Dreadnought,PlayStation 4,7.4
54,"December 19, 2017",Puzzle,Bridge Constructor Portal,PC,8.0
55,"December 16, 2017",RPG,Fallout 4 VR,PC,7.9
56,"December 14, 2017",Puzzle,Opus Magnum,PC,9.5
57,"December 13, 2017",Action,Battlestar Galactica Deadlock,PlayStation 4,7.8
58,"December 12, 2017",Adventure,The Legend of Zelda: Breath of the Wild -- Expansion Pass DLC #2 -- The Champions' Ballad,Nintendo Switch,7.8
59,"December 12, 2017",Action,Hello Neighbor,PC,4.1
60,"December 10, 2017",Shooter,Destiny 2 – Expansion I: Curse of Osiris,PC,5.5
61,"December 10, 2017",Shooter,Destiny 2 – Expansion I: Curse of Osiris,Xbox One,5.5
62,"December 10, 2017",Shooter,Destiny 2 – Expansion I: Curse of Osiris,PlayStation 4,5.5
63,"December 9, 2017",Sports,WWE 2K18,Nintendo Switch,3.8
64,"December 8, 2017",Shooter,Nine Parchments,Nintendo Switch,7.0
65,"December 8, 2017",Shooter,Nine Parchments,PC,7.0
66,"December 6, 2017",Sports,Rocket League,Nintendo Switch,9.3
67,"December 6, 2017",Sports,Rocket League,PC,9.3
68,"December 6, 2017",Sports,Rocket League,PlayStation 4,9.3
69,"December 6, 2017",Sports,Rocket League,Xbox One,9.3
70,"December 6, 2017",Shooter,Doom VFR,PC,8.0
71,"December 6, 2017",Shooter,Doom VFR,PlayStation 4,8.0
72,"December 5, 2017","Action, RPG",The Surge,PC,7.5
73,"December 2, 2017",RPG,Seven: The Days Long Gone,PC,4.0
74,"December 1, 2017","Music, Board",DropMix,iPhone,8.0
